eem_mezun_sayisi,yil,yas,küme,yas_ay,küme2,YeniOlmaDurumu
10915,1982,34,4,408,2,orta
12844,1984,32,4,384,2,orta
14886,1986,30,4,360,2,orta
17818,1988,28,4,336,2,orta
21022,1990,26,1,312,2,orta
24486,1992,24,1,288,2,orta
28313,1994,22,1,264,2,orta
32128,1996,20,3,240,0,çok eski
36193,1998,18,3,216,0,çok eski
41154,2000,16,3,192,0,çok eski
46361,2002,14,3,168,0,çok eski
52078,2004,12,2,144,4,çok yeni
58647,2006,10,2,120,4,çok yeni
65630,2008,8,2,96,4,çok yeni
72808,2010,6,2,72,1,eski
81258,2012,4,0,48,1,eski
92702,2014,2,0,24,3,yeni
108656,2016,0,0,0,3,yeni
