bolge,yil,sayi,3 kati,küme,yil_ay,yil_bolge,yil_oran,küme2,TehlikeDurumu
Amerika,2006,2,6,25,24072,Amerika,0.005479452054794521,7,7
Asya,2006,203,609,15,24072,Asya,0.5561643835616439,4,4
Okyanusya,2008,19,57,6,24096,Okyanusya,0.052054794520547946,20,az tehlikeli
Afrika,2011,6,18,23,24132,Afrika,0.01643835616438356,23,23
Asya,2011,126,378,9,24132,Asya,0.3452054794520548,11,11
Asya,2011,268,804,12,24132,Asya,0.7342465753424657,22,22
Asya,2011,1358,4074,7,24132,Asya,3.7205479452054795,12,tehlikeli
Avrupa,2011,0,0,18,24132,Avrupa,0.0,24,24
Okyanusya,2011,4,12,23,24132,Okyanusya,0.010958904109589041,23,23
Afrika,2012,279,837,22,24144,Afrika,0.7643835616438356,14,14
Afrika,2012,1504,4512,11,24144,Afrika,4.120547945205479,9,9
Afrika,2012,981,2943,14,24144,Afrika,2.6876712328767125,15,orta
Afrika,2012,1217,3651,13,24144,Afrika,3.334246575342466,0,tehlikesiz
Afrika,2012,2207,6621,5,24144,Afrika,6.046575342465753,5,5
Afrika,2012,332,996,24,24144,Afrika,0.9095890410958904,25,25
Afrika,2015,156,468,19,24180,Afrika,0.4273972602739726,17,17
Afrika,2015,17843,53529,1,24180,Afrika,48.88493150684931,3,3
Afrika,2015,1105,3315,4,24180,Afrika,3.0273972602739727,13,13
Asya,2015,110,330,16,24180,Asya,0.3013698630136986,21,21
Amerika,2016,686,2058,8,24192,Amerika,1.8794520547945206,10,10
Asya,2017,915,2745,10,24204,Asya,2.506849315068493,6,6
Asya,2017,363,1089,20,24204,Asya,0.9945205479452055,18,18
Asya,2018,7525,22575,2,24216,Asya,20.616438356164384,2,2
Asya,2018,334,1002,0,24216,Asya,0.915068493150685,8,8
Amerika,2021,22941,68823,3,24252,Amerika,62.85205479452055,1,çok tehilkeli
Avrupa,2021,89,267,21,24252,Avrupa,0.24383561643835616,16,16
Avrupa,2021,303,909,17,24252,Avrupa,0.8301369863013699,19,19
